draft,type,num,date,day,slides,readings,assignments
,,11,10-Oct,Wed,"Postgres /SQL Basics

* PostgreSQL administration
* Connecting with psql client
* [Postgres, SQL Basics, Importing Data](slides/db/postgres.html)

Files

* [Movies](sql/basics/movies.sql)
* [Transcript of SQL written in class](sql/basics/basics-transcript.sql)


","PostgreSQL: Up and Running

* Ch 1: The Basics 
  * PostgreSQL Database Objects 
* Ch 2: Database Administration
  * Configuration Files
  * Database Creation
* Ch5: Data Types
  * Numerics
  * Textuals
  * Temporals

Official Documentation 

* [Data Types](https://www.postgresql.org/docs/10/static/datatype.html) and [creating tables](https://www.postgresql.org/docs/current/static/sql-createtable.html)
* [INSERT](https://www.postgresql.org/docs/current/static/sql-insert.html), [SELECT](https://www.postgresql.org/docs/current/static/sql-select.html)
* [GROUP BY](https://www.postgresql.org/docs/current/static/sql-select.html#SQL-HAVINGhttps://www.postgresql.org/docs/current/static/sql-select.html#SQL-GROUPBY) and [HAVING](https://www.postgresql.org/docs/current/static/sql-select.html#SQL-HAVING)
* [UPDATE](https://www.postgresql.org/docs/current/static/sql-update.html) and [DELETE](https://www.postgresql.org/docs/current/static/sql-delete.html)
* [ALTER TABLE](https://www.postgresql.org/docs/10/static/sql-altertable.html)
* [COPY, Import](https://www.postgresql.org/docs/10/static/sql-copy.html)

postgresqltutorial 

* [SELECT](http://www.postgresqltutorial.com/postgresql-select/)
* [ORDER BY](http://www.postgresqltutorial.com/postgresql-order-by/)
* [DISTINCT](http://www.postgresqltutorial.com/postgresql-select-distinct/)
* [WHERE](http://www.postgresqltutorial.com/postgresql-where/)
* [LIMIT](http://www.postgresqltutorial.com/postgresql-limit/)
* [GROUP BY](http://www.postgresqltutorial.com/postgresql-group-by/)
* [HAVING](http://www.postgresqltutorial.com/postgresql-having/)
* [COPY, Import](http://www.postgresqltutorial.com/import-csv-file-into-posgresql-table/)


<!--

Python for Data Analysis

* Ch 8: Data Wrangling: Join, Combine, Reshape
* Ch 10: Data Aggregation and Group By
* Ch 11: Time Series
-->","__Homework #04__ – due Thu 10/18 at 11pm

1. [Homework #04 Instructions](assignments/04.html) 
"
y,,12,15-Oct,Mon,"Relational Database Design

* Relations / Foreign Key Constraints
* E-R Diagrams (in MySQL Workbench or similar)
  * Reverse engineering
  * Forward engineering
* Normalization



Joins and Aggregate Queries

* in-depth study of SQL for data analysis and for manipulating RDBMS.
* JOINs and all facets for standard SQL programming and development. 
* UNION and related queries
* Study of aggregate queries
* In-depth look at nested queries
* Use single tables for aggregate queries and related queries for deep dives into data sets 
",,HW05 – in class?
y,,13,17-Oct,Wed,Review,* Ch 9: Plotting and Visualization,
y,exam  ,14,22-Oct,Mon,Exam 1,,
y,,15,24-Oct,Wed,"Data Wrangling (without databases)

* Joins
* Pivots


Performance / Indexing and Query Optimization 

* Indexes
  * Different Types of Indexes
* Optimizing Queries
* Query Planning

Additional Administration

* Backups / Replication
* Vacuum",,HW06
y,,16,29-Oct,Mon,"Geo-spacial Data

* PostGIS
",,
y,,17,31-Oct,Wed,"Postgres and Python

* pyscopg
* SQLAlchemy?
* Postgres, SQLAlchemy and pandas
",,HW07
y,,18,05-Nov,Mon,"Creating APIs for Consumption
",,
y,,19,07-Nov,Wed,"Visualization Revisited (web-based)

* svg
* d3
* bokeh again (or for first time?)
* plotly again (or for first time?)",,
y,,20,12-Nov,Mon,"Data Pipeline (everything together)

* ETL
* Python, Pandas, Postgres",,HW08
y,,21,14-Nov,Wed,"NoSQL (mongodb)
                                                                                                                                  
* JSON format in depth                                                                                                                 
  1. Nested objects                                                                                                                  
* compare/contrast MongoDB with SQL.                                                                                                   
* Accessing MongoDB                                                                                                                    
  1. from command line (e.g. mongo shell)                                                                                            
  2. from Python libraries (e.g. pymongo module)                                                                                     
* Basic CRUD                                                                                                                           
* Geo-spatial data queries ",,
y,,22,19-Nov,Mon,"NoSQL (continued)

Python and NoSQL",,HW09
y,holiday,,21-Nov,Wed,Thanksgiving,,
y,,23,26-Nov,Mon,"Cloud Data Storage (Firebase, S3, RDS)

* S3
* RDS
* Firebase ",,
y,,24,28-Nov,Wed,"Serverless  (Firebase Again, Lambda, Chalice or Zappa)

* Microservices
* AWS lambda
* Firebase
* zappa or chalice",,HW10
y,,25,03-Dec,Mon,"Processing Large Data Sets (Spark or Hadoop)

* Hadoop, Parque",,
y,,26,05-Dec,Wed,Optional Topic TBD,,
y,,27,10-Dec,Mon,Review,,
y,exam  ,28,12-Dec,Wed,Exam 2,,
